road,id,model_type,name,lat,lon,length,chainage,condition
N1,814,link,Link 549,22.4032222,91.7565278,0.4000000000000057,228.006,
N1,815,bridge,Bridge 157,22.4030145445,91.75657411625,0.005,228.029,A
N1,816,link,Link 550,22.3996108,91.7573333,0.103999999999985,228.406,
N1,817,link,Link 551,22.3988608,91.7576667,0.007000000000005002,228.51,
N1,818,link,Link 552,22.3988052,91.7576667,0.4890000000000043,228.517,
N1,819,bridge,Bridge 158,22.3963398830265,91.7582551580777,0.003,228.797,A
N1,820,link,Link 553,22.3944997,91.7586944,0.0589999999999975,229.006,
N1,821,link,Link 554,22.3937774,91.7588056,0.21700000000001296,229.065,
N1,822,bridge,Bridge 159,22.3927175345622,91.7590882138248,0.018,229.203,A
N1,823,link,Link 555,22.3921108,91.75925,0.3509999999999991,229.282,
N1,824,link,Link 556,22.3892497,91.7605,0.0589999999999975,229.633,
N1,825,link,Link 557,22.3887497,91.7607222,0.31399999999999295,229.692,
N1,826,link,Link 558,22.3861663,91.7618333,0.625,230.006,
N1,827,bridge,Bridge 160,22.38524588272,91.76250565776,0.003,230.13,A
N1,828,link,Link 559,22.3815271,91.7652222,0.375,230.631,
N1,829,bridge,Bridge 161,22.3797011826666,91.7670476533333,0.0083,230.921,A
N1,830,link,Link 560,22.379166,91.7675827,0.43600000000000705,231.006,
N1,831,link,Link 561,22.3764716,91.770416,0.019000000000005457,231.442,
N1,832,link,Link 562,22.3762254893617,91.77054326631206,0.5449999999999875,231.461,
N1,833,bridge,Bridge 162,22.3696841276595,91.7739258709219,0.003,231.966,A
N1,834,link,Link 563,22.369166,91.7741938,0.5550000000000068,232.006,
N1,835,link,Link 564,22.3691382,91.777666,0.19299999999998363,232.561,
N1,836,link,Link 565,22.3586667,91.7822771,8.308999999999997,232.754,
N1,837,link,Link 566,22.3644444,91.8511111,0.3930000000000007,241.063,
N1,838,link,Link 567,22.3646111,91.8508333,0.16900000000001114,241.456,
N1,839,link,Link 568,22.3632778,91.8514722,0.8309999999999889,241.625,
N1,840,bridge,Bridge 653,22.3599057425992,91.8522694918171,0.0046500000000000005,242.016,C
N1,841,link,Link 569,22.3561111,91.8531667,0.07099999999999795,242.456,
N1,842,link,Link 570,22.3555,91.8530833,0.014000000000010004,242.527,
N1,843,link,Link 571,22.3553889,91.8530556,0.914999999999992,242.541,
N1,844,bridge,Bridge 163,22.3522674714754,91.852622049836,0.0158,242.898,A
N1,845,bridge,Bridge 573,22.3522674714754,91.852622049836,0.0147,242.898,B
N1,846,link,Link 572,22.3473886,91.8519444,0.5490000000000066,243.456,
N1,847,link,Link 573,22.3427219,91.8531389,0.04400000000001114,244.005,
N1,848,link,Link 574,22.3423608,91.8530833,0.40699999999998226,244.049,
N1,849,bridge,Bridge 654,22.3395393508599,91.8533871579852,0.039670000000000004,244.367,C
N1,850,bridge,Bridge 574,22.3395393508599,91.8533871579852,0.0384,244.367,B
N1,851,link,Link 575,22.3387497,91.8534722,0.05200000000002092,244.456,
N1,852,link,Link 576,22.338362487628867,91.853695585567,0.044999999999987494,244.508,
N1,853,link,Link 577,22.3380274,91.8538889,0.0800000000000125,244.553,
N1,854,link,Link 578,22.3373886,91.8542778,0.046999999999997044,244.633,
N1,855,link,Link 579,22.3370274,91.8545278,0.775999999999982,244.68,
N1,856,bridge,Bridge 575,22.3357673216494,91.8538536927835,0.0394,244.856,B
N1,857,bridge,Bridge 655,22.3357673216494,91.8538536927835,0.04038,244.856,C
N1,858,bridge,Bridge 656,22.3349153368556,91.8533979043814,0.04931,244.975,C
N1,859,bridge,Bridge 164,22.3349153368556,91.8533979043814,0.0485,244.975,A
N1,860,link,Link 580,22.3314716,91.8515556,0.20900000000000318,245.456,
N1,861,link,Link 581,22.3297493,91.8521111,0.7909999999999968,245.665,
N1,862,bridge,Bridge 165,22.3266451369152,91.852759390139,0.9545,246.02,A
N1,863,bridge,Bridge 657,22.3266451369152,91.852759390139,0.914,246.02,C
N1,864,link,Link 582,22.3228327,91.8535556,0.17799999999999727,246.456,
N1,865,link,Link 583,22.3212771,91.8536111,0.7020000000000266,246.634,
N1,866,link,Link 584,22.3153611,91.8553056,0.015999999999991132,247.336,
N1,867,link,Link 585,22.3152222,91.8553333,0.044999999999987494,247.352,
N1,868,link,Link 586,22.3148889,91.8553889,0.4960000000000093,247.397,
N1,869,bridge,Bridge 166,22.3129265129032,91.856181916129,0.0173,247.637,A
N1,870,bridge,Bridge 658,22.3129265129032,91.856181916129,0.011,247.637,C
N1,871,link,Link 587,22.3108333,91.8570278,0.030000000000001137,247.893,
N1,872,link,Link 588,22.3106111,91.8570833,0.3269999999999982,247.923,
N1,873,link,Link 589,22.30825,91.8589722,0.14699999999999136,248.25,
N1,874,link,Link 590,22.3071944,91.8598611,0.4000000000000057,248.397,
N1,875,bridge,Bridge 659,22.306457756,91.860449028,0.0152,248.499,C
N1,876,link,Link 591,22.3043056,91.8621667,0.3089999999999975,248.797,
N1,877,bridge,Bridge 167,22.3026235524271,91.8635646970873,0.003,249.04,A
N1,878,link,Link 592,22.3021667,91.8639444,0.29300000000000637,249.106,
N1,879,bridge,Bridge 576,22.3002851293515,91.8652980307167,0.0057,249.348,B
N1,880,link,Link 593,22.2998886,91.8655833,0.568000000000012,249.399,
N1,881,bridge,Bridge 168,22.2975350260563,91.866363031514,0.003,249.674,A
N1,882,link,Link 594,22.2950274,91.8671938,0.4269999999999925,249.967,
N1,883,bridge,Bridge 169,22.2932366309133,91.8684360651053,0.0015,250.215,A
N1,884,link,Link 595,22.2919441,91.8693327,0.05099999999998772,250.394,
N1,885,link,Link 596,22.2916663,91.8696382,0.17000000000001592,250.445,
N1,886,bridge,Bridge 170,22.2916421411764,91.8702911411764,0.003,250.519,A
N1,887,link,Link 597,22.2916108,91.8711382,0.44700000000000273,250.615,
N1,888,bridge,Bridge 171,22.2926079302013,91.8730201176733,0.003,250.841,A
N1,889,link,Link 598,22.293583,91.8748604,0.26200000000000045,251.062,
N1,890,bridge,Bridge 172,22.2944653526717,91.876717971374,0.003,251.281,A
N1,891,link,Link 599,22.2946386,91.8770827,0.06699999999997885,251.324,
N1,892,link,Link 600,22.2949163,91.877666,0.054000000000002046,251.391,
N1,893,link,Link 601,22.2951108,91.8781104,0.26300000000000523,251.445,
N1,894,bridge,Bridge 660,22.2962698699619,91.8807528022813,0.1165,251.538,C
N1,895,bridge,Bridge 173,22.2962698699619,91.8807528022813,0.11613,251.538,A
N1,896,link,Link 602,22.2983886,91.885583,0.688999999999993,251.708,
N1,897,link,Link 603,22.2985552,91.886333,0.5589999999999975,252.397,
N1,898,bridge,Bridge 577,22.2988369230769,91.8873512822898,0.003,252.506,B
N1,899,link,Link 604,22.3,91.8915552,0.4410000000000025,252.956,
N1,900,link,Link 605,22.3005833,91.892833,0.17300000000000182,253.397,
N1,901,link,Link 606,22.3015833,91.897333,0.45400000000000773,253.57,
N1,902,bridge,Bridge 578,22.3021025781938,91.8992582823788,0.0031,253.777,B
N1,903,link,Link 607,22.3027222,91.9015556,0.10300000000000864,254.024,
N1,904,link,Link 608,22.3029722,91.9025,0.8719999999999857,254.127,
N1,905,bridge,Bridge 174,22.3035365502293,91.9044227217889,0.003,254.333,A
N1,906,link,Link 609,22.3053611,91.9106389,0.30299999999999727,254.999,
N1,907,link,Link 610,22.3070556,91.9128056,0.4240000000000066,255.302,
N1,908,bridge,Bridge 175,22.3083189877358,91.9142153009434,0.003,255.505,A
N1,909,bridge,Bridge 579,22.3083189877358,91.9142153009434,0.0108,255.505,B
N1,910,link,Link 611,22.3096944,91.91575,0.27299999999999613,255.726,
N1,911,link,Link 612,22.3114167,91.9176382,0.16799999999997794,255.999,
N1,912,link,Link 613,22.3124722,91.9188327,0.521000000000015,256.167,
N1,913,bridge,Bridge 176,22.3137546831094,91.9203176378118,0.003,256.378,A
N1,914,link,Link 614,22.3156389,91.9224993,0.12100000000003774,256.688,
N1,915,link,Link 615,22.3158889,91.9235827,0.18999999999999773,256.809,
